cell_label,brain_section_label,cluster_alias,average_correlation_score,x_section,y_section,z_section,x_reconstructed,y_reconstructed,z_reconstructed,parcellation_index,x_ccf,y_ccf,z_ccf,parcellation_division,parcellation_structure,parcellation_substructure,cfos
1017092617101770314,C57BL6J-638850.38,14962,0.575283363935789,4.643362078765022,5.00622021689964,6.800000000000001,4.842631426521892,4.812144019733712,6.800000000000001,179,7.156249296593535,3.2927519294714576,4.9982005967206,TH,LH,LH,2
1019171907102040364-1,C57BL6J-638850.40,14956,0.638121195790585,4.988084417509148,4.738920208719647,7.2,5.027500962764307,4.760770255201515,7.2,179,6.806002869113993,3.2287457129870343,5.1796265813248015,TH,LH,LH,2
1019171907102040382-1,C57BL6J-638850.40,14962,0.691484123875559,5.021352342758754,4.909142413115232,7.2,5.038519579517861,4.907709134804853,7.2,179,6.789840351737685,3.39343612969015,5.198598896120603,TH,LH,LH,3
1019171907101680755,C57BL6J-638850.40,14956,0.618149875149318,5.823644390068258,4.814907937587866,7.2,5.851797438169927,4.829615198655949,7.2,179,6.822259542461588,3.316544550293289,6.036688154782155,TH,LH,LH,1
1017092617101780292-1,C57BL6J-638850.38,14956,0.52862912491181,4.898884943461656,4.870373126034246,6.800000000000001,5.023777689461953,4.724281886913074,6.800000000000001,179,7.171424803762475,3.196765400240732,5.183117442483544,TH,LH,LH,1
1017092617101780257,C57BL6J-638850.38,14962,0.579276125362717,4.822734216780642,4.871443131618437,6.800000000000001,4.973975321439198,4.72800199709762,6.800000000000001,179,7.169965447042837,3.197478132994372,5.135889442267182,TH,LH,LH,2
1017092617101780558,C57BL6J-638850.38,14962,0.549112639034942,4.766948523819185,5.044917703142997,6.800000000000001,4.9256358329427865,4.872302655018903,6.800000000000001,179,7.151549305813907,3.3629186354394585,5.080731779804046,TH,LH,LH,1
1017092617101560624-1,C57BL6J-638850.38,14865,0.508347665672624,5.9084689969242925,4.4124985788679165,6.800000000000001,6.069674974418267,4.42294797123695,6.800000000000001,179,7.234216080224694,2.88401111465893,6.24003032373867,TH,LH,LH,1
1019171907101860157,C57BL6J-638850.37,14956,0.721106326567577,5.0690027504949065,4.593322106956329,6.6000000000000005,5.029037615503378,4.4304812511807015,6.6000000000000005,179,7.38493508678829,2.8748573931382664,5.176063330701392,TH,LH,LH,1
1019171907101860172-1,C57BL6J-638850.37,14956,0.607239377230899,4.890046094225058,4.770053188639458,6.6000000000000005,4.992935608715952,4.620606418018292,6.6000000000000005,179,7.36249221929437,3.087731163194377,5.147748804665962,TH,LH,LH,1
1019171907101860370-1,C57BL6J-638850.37,14983,0.606029569856325,5.0320819090016204,4.798177089254574,6.6000000000000005,5.083051038622906,4.668962354814847,6.6000000000000005,179,7.360366666550779,3.1378519840849823,5.24864769848366,TH,LH,LH,1
1017092617101800040,C57BL6J-638850.38,5254,0.506694164413267,5.648219128929587,4.640497361902802,6.800000000000001,5.805176890882513,4.669652358674371,6.800000000000001,179,7.199618098130875,3.1508071544026444,5.984233384351287,TH,LH,LH,0
1019171907101860854,C57BL6J-638850.37,14956,0.643378669321844,5.134316975405715,5.082322271170842,6.6000000000000005,5.113076593739934,4.952913059997614,6.6000000000000005,179,7.328202292136658,3.46271031334831,5.27641493730472,TH,LH,LH,2
1017092617101780591,C57BL6J-638850.38,14956,0.710990985598712,4.826900307078293,5.052972358246756,6.800000000000001,4.975633462737846,4.896597236001587,6.800000000000001,179,7.15049866353161,3.3893783691328467,5.136418095500883,TH,LH,LH,1
1017092617101780392,C57BL6J-638850.38,14956,0.57423797370604,4.858527708784117,4.927560838113352,6.800000000000001,4.993070667996104,4.788507213360988,6.800000000000001,179,7.163762612042333,3.2648300848925005,5.157507041755455,TH,LH,LH,1
1017092617101770095-1,C57BL6J-638850.38,14956,0.65728010937229,4.581502756529737,4.873606346070152,6.800000000000001,4.847751732641235,4.695894794392707,6.800000000000001,179,7.1695674852965,3.16228839581646,5.000695062954995,TH,LH,LH,2
1019171906101990227,C57BL6J-638850.42,14956,0.55946643899515,5.302441751768558,4.564100699897173,7.6,5.078892906569953,4.916425505087782,7.6,179,6.428983434509746,3.392817173121642,5.237874588423264,TH,LH,LH,0
1017092617101800224-1,C57BL6J-638850.38,14983,0.570928270894852,5.674469709505308,4.742615793682202,6.800000000000001,5.797076818843057,4.776094512954694,6.800000000000001,179,7.186789111351577,3.273532061894624,5.971650248000831,TH,LH,LH,0
1017092617101800239-1,C57BL6J-638850.38,5252,0.517094770066778,5.635322404624211,4.764647451424478,6.800000000000001,5.772120982835348,4.774480449177217,6.800000000000001,179,7.186573539573625,3.2692583286690966,5.949546426300485,TH,LH,LH,0
1017092617101800326-1,C57BL6J-638850.38,14962,0.563891210360865,5.767967144071584,4.7932673179480005,6.800000000000001,5.8409681754394525,4.836420633275213,6.800000000000001,179,7.181767273317316,3.3380441040223774,6.023675438146407,TH,LH,LH,0
1017092617101780522-1,C57BL6J-638850.38,14962,0.710318627041906,4.848654096801567,5.010202436163386,6.800000000000001,4.983699070032629,4.867920376167715,6.800000000000001,179,7.154319818682973,3.3549852023217204,5.14762310880569,TH,LH,LH,1
1019171907101680508,C57BL6J-638850.40,14956,0.505498889564044,5.868027416275238,4.5862904495962,7.2,5.881830372278516,4.654529884515604,7.2,179,6.842418509954997,3.124767005480403,6.060156416397631,TH,LH,LH,1
1019171907101860357-1,C57BL6J-638850.37,14956,0.663528049214408,4.882850433364523,4.920377865794979,6.6000000000000005,4.917422357136437,4.803928071996777,6.6000000000000005,179,7.3395513299795,3.291661876880388,5.071572327920812,TH,LH,LH,1
1019171907101860632,C57BL6J-638850.37,14983,0.511850315106861,5.105669734812721,4.940585620268682,6.6000000000000005,5.111987564429816,4.826194581642934,6.6000000000000005,179,7.343064495971789,3.316850809354274,5.278272829626842,TH,LH,LH,1
1019171907201680249,C57BL6J-638850.40,14956,0.592341587219808,5.973134264113,4.588481268829908,7.2,5.967381877983839,4.617539142081085,7.2,179,6.848734003642383,3.086956630482688,6.144492891397553,TH,LH,LH,1
1019171907101690472-2,C57BL6J-638850.40,14977,0.597893647537926,5.873395455140585,4.933525784077152,7.2,5.893318131192094,4.91672248922185,7.2,179,6.812976529603104,3.41924145614742,6.075611690676079,TH,LH,LH,1
1019171907102090775,C57BL6J-638850.37,5231,0.535211747466912,5.906296758497963,4.997251858396423,6.6000000000000005,5.909328715447087,4.904587594059389,6.6000000000000005,179,7.355430112732411,3.4281537685924803,6.084080868495676,TH,LH,LH,0
1019171907102090811,C57BL6J-638850.37,14956,0.538789584177353,6.025881342124732,4.928744076931695,6.6000000000000005,6.060962736711927,4.791535857933504,6.6000000000000005,179,7.372777174064642,3.3032529021779395,6.242992953978266,TH,LH,LH,0
1017092617101780132-1,C57BL6J-638850.38,14983,0.617352178460249,4.935355928347288,4.801374027404419,6.800000000000001,5.093804907669707,4.612819090118096,6.800000000000001,179,7.185915425100783,3.073901300854808,5.251813649282967,TH,LH,LH,1
1017092617101780517,C57BL6J-638850.38,14983,0.724315805571262,5.110495754557535,4.962306975145245,6.800000000000001,5.293014005943688,4.805728966974265,6.800000000000001,179,7.169813670402391,3.2930665482184067,5.461154011465648,TH,LH,LH,1
1019171907102040460-1,C57BL6J-638850.40,14956,0.689677638884686,4.926124728241163,4.73766654434397,7.2,4.97778754247201,4.7609694560050295,7.2,179,6.804603918933411,3.227818651918135,5.128788272407266,TH,LH,LH,2
1017092617101800157-1,C57BL6J-638850.38,14956,0.679038947881642,6.005475591864822,4.646485487712235,6.800000000000001,6.2237669045552,4.608709574020757,6.800000000000001,179,7.218250131738512,3.090827503097417,6.411329126513964,TH,LH,LH,2
1017092617101800205,C57BL6J-638850.38,14956,0.545412039249154,5.706323144140754,4.726443518241337,6.800000000000001,5.826872573730744,4.760348246149788,6.800000000000001,179,7.189063797961637,3.2582411140228738,5.996248764650352,TH,LH,LH,0
1017092617101800240,C57BL6J-638850.38,14956,0.623822546957687,5.8914293997832905,4.716597636551196,6.800000000000001,6.062122112622044,4.738324341653043,6.800000000000001,179,7.199172541904582,3.2318056506256068,6.249074404545292,TH,LH,LH,2
1019171907101680528-1,C57BL6J-638850.40,14977,0.584166671521998,5.874926603596437,4.659780414624352,7.2,5.900406532850416,4.7046551136325645,7.2,179,6.837352911373252,3.1807754098495087,6.081269959033363,TH,LH,LH,1
1019171907101860532-1,C57BL6J-638850.37,14956,0.615733995615681,5.03331135888352,4.926978370360183,6.6000000000000005,5.059542798794502,4.8149675775016,6.6000000000000005,179,7.342109060226346,3.308160694320567,5.215692361333727,TH,LH,LH,1
